PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,Sweden,2023,Hydro-fluorocarbons (HFCS),10483
12/15/2025,France,2021,Arsenic and compounds (as As),146.499996
12/15/2025,Malta,2014,Carbon dioxide (CO2),1660000000
12/15/2025,Finland,2014,Carbon dioxide (CO2),48576000000
12/15/2025,Belgium,2015,Sulphur oxides (SOX),27818000
12/15/2025,Malta,2014,Ammonia (NH3),15700
12/15/2025,Germany,2010,Arsenic and compounds (as As),2507.5
12/15/2025,Germany,2009,Particulate matter (PM10),10359200
12/15/2025,Poland,2012,Carbon dioxide (CO2),1.95762E+11
12/15/2025,France,2013,Non-methane volatile organic compounds (NMVOC),50751000
12/15/2025,Poland,2023,Methane (CH4),408851000
12/15/2025,Germany,2024,Non-methane volatile organic compounds (NMVOC),28236000
12/15/2025,Poland,2015,Hydrogen cyanide (HCN),4082
12/15/2025,Finland,2014,Nitrogen oxides (NOX),51199000
12/15/2025,Germany,2012,Chromium and compounds (as Cr),8558
12/15/2025,Denmark,2022,Lead and compounds (as Pb),11.921
12/15/2025,Poland,2011,Dichloromethane (DCM),61060
12/15/2025,Poland,2007,Chromium and compounds (as Cr),7943
12/15/2025,United Kingdom,2007,Arsenic and compounds (as As),1407.5
12/15/2025,Malta,2022,Methane (CH4),4751000
12/15/2025,Belgium,2012,Nitrogen oxides (NOX),48523000
12/15/2025,Belgium,2012,Lead and compounds (as Pb),19039
12/15/2025,France,2021,Benzene,220800
12/15/2025,Estonia,2012,Nickel and compounds (as Ni),5162
12/15/2025,Spain,2007,Zinc and compounds (as Zn),243365
12/15/2025,Sweden,2009,Non-methane volatile organic compounds (NMVOC),23587000
12/15/2025,Czechia,2012,Nitrous oxide (N2O),1082200
12/15/2025,Germany,2017,Mercury and compounds (as Hg),6191.6
12/15/2025,Belgium,2012,Carbon dioxide (CO2),47518000000
12/15/2025,Italy,2023,Nickel and compounds (as Ni),2809.5966
12/15/2025,France,2021,Tetrachloroethylene,13860
12/15/2025,Spain,2018,Ammonia (NH3),62177100
12/15/2025,Spain,2021,Mercury and compounds (as Hg),991.6
12/15/2025,Bulgaria,2007,Lead and compounds (as Pb),23759
12/15/2025,Slovenia,2023,Sulphur oxides (SOX),731939
12/15/2025,Spain,2024,Carbon dioxide (CO2),68937000000
12/15/2025,Sweden,2010,Non-methane volatile organic compounds (NMVOC),25083000
12/15/2025,Czechia,2011,Non-methane volatile organic compounds (NMVOC),6170000
12/15/2025,Czechia,2013,Nitrogen oxides (NOX),80194000
12/15/2025,Czechia,2014,Copper and compounds (as Cu),1720
12/15/2025,France,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.011331
12/15/2025,Czechia,2013,Ammonia (NH3),5352700
12/15/2025,France,2016,Naphthalene,9787
12/15/2025,Spain,2024,Nitrogen oxides (NOX),109262200
12/15/2025,Finland,2024,Nitrous oxide (N2O),37258600
12/15/2025,Portugal,2008,Nitrous oxide (N2O),2178800
12/15/2025,Czechia,2013,Carbon dioxide (CO2),65938000000
12/15/2025,Estonia,2022,Carbon dioxide (CO2) excluding biomass,8070393700
12/15/2025,Romania,2007,Carbon monoxide (CO),164698000
12/15/2025,Italy,2011,Chromium and compounds (as Cr),4780
12/15/2025,Romania,2020,Zinc and compounds (as Zn),8625
12/15/2025,Sweden,2011,Carbon dioxide (CO2),51394000000
12/15/2025,Switzerland,2017,Lead and compounds (as Pb),1920
12/15/2025,Portugal,2009,Cadmium and compounds (as Cd),2886
12/15/2025,United Kingdom,2012,Nickel and compounds (as Ni),19178.6
12/15/2025,Serbia,2022,Ammonia (NH3),3078100
12/15/2025,Belgium,2021,Cadmium and compounds (as Cd),180.7
12/15/2025,Hungary,2024,Ammonia (NH3),15160547.59
12/15/2025,Austria,2024,Hydro-fluorocarbons (HFCS),475
12/15/2025,Spain,2020,Fluorine and inorganic compounds (as HF),292990
12/15/2025,Finland,2019,Carbon monoxide (CO),18329000
12/15/2025,Latvia,2020,Dichloromethane (DCM),1810
12/15/2025,Sweden,2011,Nitrogen oxides (NOX),28055000
12/15/2025,Spain,2022,Sulphur oxides (SOX),53410000
12/15/2025,Netherlands,2012,Hydrochlorofluorocarbons (HCFCs),129609.34
12/15/2025,Serbia,2023,Nitrogen oxides (NOX),40598000
12/15/2025,Belgium,2011,Dichloromethane (DCM),261810
12/15/2025,Italy,2021,Polychlorinated biphenyls (PCBs),13.1775
12/15/2025,Croatia,2016,Non-methane volatile organic compounds (NMVOC),559000
12/15/2025,Portugal,2011,Arsenic and compounds (as As),924.6
12/15/2025,Bulgaria,2020,Carbon dioxide (CO2) excluding biomass,2003188584
12/15/2025,Poland,2022,Nickel and compounds (as Ni),16362.9
12/15/2025,Netherlands,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.002043
12/15/2025,Slovakia,2008,Mercury and compounds (as Hg),942.1
12/15/2025,France,2020,Chlorine and inorganic compounds (as HCl),372500
12/15/2025,Belgium,2009,Polychlorinated biphenyls (PCBs),53.801
12/15/2025,Spain,2021,Sulphur hexafluoride (SF6),488.1
12/15/2025,Spain,2022,Nitrous oxide (N2O),2036500
12/15/2025,Iceland,2020,Methane (CH4),4586900
12/15/2025,Netherlands,2013,Dichloromethane (DCM),59270
12/15/2025,Netherlands,2016,Fluorine and inorganic compounds (as HF),129060
12/15/2025,Belgium,2014,Fluorine and inorganic compounds (as HF),50900
12/15/2025,Netherlands,2012,Dichloromethane (DCM),48040
12/15/2025,Serbia,2015,Nitrogen oxides (NOX),53363000
12/15/2025,Portugal,2023,Nitrogen oxides (NOX),33031000
12/15/2025,Poland,2018,"1,2-dichloroethane (DCE-1,2)",5460
12/15/2025,Croatia,2021,Ammonia (NH3),1595000
12/15/2025,Czechia,2018,Cadmium and compounds (as Cd),521.68138
12/15/2025,United Kingdom,2011,Hydrogen cyanide (HCN),49538
12/15/2025,Greece,2023,Ammonia (NH3),117800
12/15/2025,Germany,2021,Chromium and compounds (as Cr),2360
12/15/2025,Netherlands,2012,Carbon dioxide (CO2) excluding biomass,48595000000
12/15/2025,Ireland,2022,Mercury and compounds (as Hg),57.960227
12/15/2025,Belgium,2018,Nickel and compounds (as Ni),819.4
12/15/2025,Spain,2008,Naphthalene,4012
12/15/2025,Bulgaria,2012,Copper and compounds (as Cu),956
12/15/2025,Belgium,2013,Lead and compounds (as Pb),15739
12/15/2025,Croatia,2018,Cadmium and compounds (as Cd),102
12/15/2025,Cyprus,2022,Zinc and compounds (as Zn),2663.98
12/15/2025,Spain,2017,Trichloroethylene (TRI),4420
12/15/2025,Norway,2007,Particulate matter (PM10),6046900
12/15/2025,Portugal,2016,Benzene,24190
12/15/2025,Germany,2021,Carbon dioxide (CO2) excluding biomass,78144780000
12/15/2025,United Kingdom,2013,Trichlorobenzenes (TCB),43.3
12/15/2025,United Kingdom,2012,Trichlorobenzenes (TCB),143.2
12/15/2025,Spain,2009,Anthracene,237.5
12/15/2025,Belgium,2023,Nitrous oxide (N2O),1617100
12/15/2025,Croatia,2019,Nitrogen oxides (NOX),7051000
12/15/2025,Belgium,2012,Vinyl chloride,21280
12/15/2025,Austria,2019,Cadmium and compounds (as Cd),47.3
12/15/2025,Slovenia,2012,Fluorine and inorganic compounds (as HF),150600
12/15/2025,Netherlands,2015,Carbon dioxide (CO2) excluding biomass,51111000000
12/15/2025,Greece,2024,Sulphur oxides (SOX),23608000
12/15/2025,Greece,2018,Nitrous oxide (N2O),810700
12/15/2025,Croatia,2019,Sulphur oxides (SOX),4339000
12/15/2025,Croatia,2019,Carbon dioxide (CO2),6643000000
12/15/2025,Greece,2024,Di-(2-ethyl hexyl) phthalate (DEHP),69.9
12/15/2025,Netherlands,2015,Chromium and compounds (as Cr),594
12/15/2025,Germany,2013,Chromium and compounds (as Cr),6846
12/15/2025,Italy,2019,Sulphur hexafluoride (SF6),2528.79
12/15/2025,Slovakia,2021,Hydrogen cyanide (HCN),15500
12/15/2025,Bulgaria,2021,Arsenic and compounds (as As),84
12/15/2025,Norway,2013,Asbestos,1.77
12/15/2025,Netherlands,2022,Non-methane volatile organic compounds (NMVOC),6807000
12/15/2025,Norway,2012,Asbestos,1.14
12/15/2025,Slovenia,2021,Fluorine and inorganic compounds (as HF),22549
12/15/2025,Slovenia,2011,Zinc and compounds (as Zn),336
12/15/2025,Ireland,2017,Methane (CH4),29227000
12/15/2025,Bulgaria,2019,Ammonia (NH3),11726726
12/15/2025,Norway,2014,Hydrochlorofluorocarbons (HCFCs),33
12/15/2025,Slovakia,2007,Methane (CH4),2347000
12/15/2025,Poland,2020,Sulphur oxides (SOX),128331000
12/15/2025,Italy,2019,Mercury and compounds (as Hg),466.5093
12/15/2025,Hungary,2017,Chlorine and inorganic compounds (as HCl),68400
12/15/2025,Italy,2007,Hydrogen cyanide (HCN),1409
12/15/2025,Estonia,2019,Ammonia (NH3),1015700
12/15/2025,Switzerland,2022,Carbon dioxide (CO2),7783432620
12/15/2025,France,2016,Tetrachloromethane (TCM),11739
12/15/2025,Luxembourg,2010,Chromium and compounds (as Cr),144
12/15/2025,Estonia,2010,Zinc and compounds (as Zn),49341
12/15/2025,Austria,2010,Non-methane volatile organic compounds (NMVOC),3131000
12/15/2025,France,2008,Chlorofluorocarbons (CFCs),47376
12/15/2025,Romania,2023,Nitrogen oxides (NOX),21506000
12/15/2025,Spain,2010,Anthracene,167
12/15/2025,Switzerland,2022,Nitrogen oxides (NOX),3799885
12/15/2025,Austria,2009,Non-methane volatile organic compounds (NMVOC),2790000
12/15/2025,Germany,2022,Copper and compounds (as Cu),9097
12/15/2025,Netherlands,2017,Cadmium and compounds (as Cd),417.6
12/15/2025,Germany,2021,Hydrochlorofluorocarbons (HCFCs),771.9
12/15/2025,Ireland,2012,Polycyclic aromatic hydrocarbons (PAHs),62.4
12/15/2025,Romania,2023,Carbon dioxide (CO2),21805000000
12/15/2025,Netherlands,2017,Vinyl chloride,13540
12/15/2025,Portugal,2019,Particulate matter (PM10),1812300
12/15/2025,Denmark,2021,Total organic carbon(as total C or COD/3) (TOC),9000
12/15/2025,Lithuania,2018,Carbon monoxide (CO),7118000
12/15/2025,Latvia,2010,Polycyclic aromatic hydrocarbons (PAHs),157
12/15/2025,Netherlands,2014,Zinc and compounds (as Zn),64659
12/15/2025,Slovenia,2013,Fluorine and inorganic compounds (as HF),112600
12/15/2025,France,2014,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",159
12/15/2025,Slovenia,2007,Ammonia (NH3),709200
12/15/2025,Slovenia,2010,Perfluorocarbons (PFCs),2010
12/15/2025,Portugal,2012,Pentachlorobenzene,1.5
12/15/2025,Cyprus,2019,Particulate matter (PM10),582000
12/15/2025,Norway,2012,Hydrochlorofluorocarbons (HCFCs),1013
12/15/2025,France,2012,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",127
12/15/2025,Finland,2010,Benzene,94200
12/15/2025,Portugal,2013,Methane (CH4),66185000
12/15/2025,Cyprus,2021,Copper and compounds (as Cu),107
12/15/2025,Slovakia,2015,Hydro-fluorocarbons (HFCS),1100
12/15/2025,Switzerland,2008,Carbon monoxide (CO),9911000
12/15/2025,Portugal,2011,Tetrachloroethylene,28700
12/15/2025,Serbia,2023,Carbon dioxide (CO2),17696000000
12/15/2025,Greece,2020,Copper and compounds (as Cu),1325
12/15/2025,Denmark,2008,Sulphur oxides (SOX),12672000
12/15/2025,Hungary,2019,Carbon monoxide (CO),22202000
12/15/2025,Romania,2016,Lead and compounds (as Pb),4460
12/15/2025,Luxembourg,2023,PCDD + PCDF (dioxins + furans) (as Teq),0.000372
12/15/2025,Spain,2013,Trichloromethane,16400
12/15/2025,Estonia,2023,Chlorine and inorganic compounds (as HCl),96100
12/15/2025,Bulgaria,2012,Carbon monoxide (CO),20836000
12/15/2025,Austria,2022,Copper and compounds (as Cu),261
12/15/2025,Netherlands,2020,Halons,115
12/15/2025,Greece,2012,Nitrogen oxides (NOX),108714000
12/15/2025,Bulgaria,2013,Copper and compounds (as Cu),1221
12/15/2025,Romania,2009,Lead and compounds (as Pb),2340
12/15/2025,Denmark,2018,Zinc and compounds (as Zn),12.41
12/15/2025,Luxembourg,2007,Cadmium and compounds (as Cd),12.8
12/15/2025,Portugal,2014,Carbon monoxide (CO),22270000
12/15/2025,Ireland,2021,Nickel and compounds (as Ni),1385.255846
12/15/2025,Czechia,2020,Trichloroethylene (TRI),32001
12/15/2025,Cyprus,2009,Cadmium and compounds (as Cd),50.7
12/15/2025,Switzerland,2021,Dichloromethane (DCM),10347
12/15/2025,Ireland,2008,Ammonia (NH3),1337300
12/15/2025,Slovakia,2019,Polycyclic aromatic hydrocarbons (PAHs),161
12/15/2025,Denmark,2011,Nitrous oxide (N2O),148500
12/15/2025,Sweden,2016,Cadmium and compounds (as Cd),38.4
12/15/2025,Ireland,2017,Chlorofluorocarbons (CFCs),21.46
12/15/2025,Portugal,2019,Hydrogen cyanide (HCN),537
12/15/2025,Sweden,2022,"1,2-dichloroethane (DCE-1,2)",2220
12/15/2025,Latvia,2009,Polycyclic aromatic hydrocarbons (PAHs),157
12/15/2025,Hungary,2009,Nitrous oxide (N2O),42700
12/15/2025,Portugal,2017,Copper and compounds (as Cu),444
12/15/2025,Estonia,2014,Methane (CH4),3392000
12/15/2025,Luxembourg,2019,Methane (CH4),1811000
12/15/2025,Greece,2012,Carbon dioxide (CO2),60645000000
12/15/2025,Cyprus,2023,Nitrogen oxides (NOX),5574000
12/15/2025,Luxembourg,2011,Lead and compounds (as Pb),303
12/15/2025,Cyprus,2023,Carbon dioxide (CO2),4370000000
12/15/2025,Germany,2011,Polychlorinated biphenyls (PCBs),5.6
12/15/2025,Denmark,2024,Benzene,2.383
12/15/2025,Portugal,2010,Cadmium and compounds (as Cd),1398.4
12/15/2025,Iceland,2007,Fluorine and inorganic compounds (as HF),227000
12/15/2025,Cyprus,2018,Ammonia (NH3),1212300
12/15/2025,Hungary,2010,Nitrous oxide (N2O),35000
12/15/2025,Portugal,2016,Tetrachloroethylene,17500
12/15/2025,Switzerland,2016,Methane (CH4),123000
12/15/2025,Norway,2016,Dichloromethane (DCM),3970
12/15/2025,Czechia,2012,Di-(2-ethyl hexyl) phthalate (DEHP),65
12/15/2025,Germany,2008,Hydrochlorofluorocarbons (HCFCs),27237.77
12/15/2025,Germany,2014,Chlorine and inorganic compounds (as HCl),3832900
12/15/2025,United Kingdom,2016,Chlorine and inorganic compounds (as HCl),2350700
12/15/2025,Germany,2015,Dichloromethane (DCM),11570
12/15/2025,Belgium,2017,Hydrogen cyanide (HCN),8970
12/15/2025,Belgium,2020,Fluorine and inorganic compounds (as HF),80840
12/15/2025,Estonia,2007,Copper and compounds (as Cu),2373
12/15/2025,Poland,2012,Lead and compounds (as Pb),39815
12/15/2025,Belgium,2008,"Benzo(g,h,i)perylene",1339.46525
12/15/2025,United Kingdom,2012,Ammonia (NH3),12182400
12/15/2025,Slovakia,2020,Carbon monoxide (CO),92998000
12/15/2025,Malta,2014,Cadmium and compounds (as Cd),17
12/15/2025,Luxembourg,2014,PCDD + PCDF (dioxins + furans) (as Teq),0.000397
12/15/2025,Czechia,2017,Chlorine and inorganic compounds (as HCl),431300
12/15/2025,United Kingdom,2007,Trichloroethylene (TRI),722660
12/15/2025,United Kingdom,2016,Carbon dioxide (CO2) excluding biomass,22865000000
12/15/2025,Belgium,2017,Fluorine and inorganic compounds (as HF),77440
12/15/2025,Spain,2007,Benzene,179230
12/15/2025,Spain,2016,Nitrogen oxides (NOX),237830000
12/15/2025,Netherlands,2017,Ammonia (NH3),2233400
12/15/2025,Germany,2014,Mercury and compounds (as Hg),6815.2
12/15/2025,France,2013,Chromium and compounds (as Cr),8999
12/15/2025,Italy,2018,Chlorofluorocarbons (CFCs),269.0658
12/15/2025,Belgium,2018,Ammonia (NH3),3649300
12/15/2025,Poland,2023,Trichloromethane,1180
12/15/2025,Malta,2015,Methane (CH4),4392000
12/15/2025,Germany,2008,Mercury and compounds (as Hg),7540.3
12/15/2025,Germany,2015,Carbon dioxide (CO2) excluding biomass,1.07069E+11
12/15/2025,Denmark,2022,Benzene,78.6
12/15/2025,Estonia,2012,Ammonia (NH3),726400
12/15/2025,Poland,2007,Non-methane volatile organic compounds (NMVOC),9708000
12/15/2025,Germany,2015,Hydro-fluorocarbons (HFCS),21539
12/15/2025,France,2021,Lead and compounds (as Pb),17839
12/15/2025,Germany,2009,Fluorine and inorganic compounds (as HF),704270
12/15/2025,Netherlands,2019,Methane (CH4),25249000
12/15/2025,Romania,2014,Lead and compounds (as Pb),3460
12/15/2025,Romania,2009,Ammonia (NH3),20025400
12/15/2025,France,2016,Non-methane volatile organic compounds (NMVOC),46979000
12/15/2025,Spain,2024,Sulphur oxides (SOX),42683470
12/15/2025,Sweden,2011,Zinc and compounds (as Zn),22263
12/15/2025,Belgium,2021,Carbon dioxide (CO2),40803000000
12/15/2025,Belgium,2021,Sulphur oxides (SOX),18944000
12/15/2025,United Kingdom,2014,Di-(2-ethyl hexyl) phthalate (DEHP),125
12/15/2025,France,2016,Mercury and compounds (as Hg),1200.8
12/15/2025,Romania,2020,Carbon dioxide (CO2),30593000000
12/15/2025,Spain,2010,Naphthalene,1596
12/15/2025,Ireland,2011,Nitrous oxide (N2O),125800
12/15/2025,Bulgaria,2007,Benzene,13050
12/15/2025,Greece,2019,Mercury and compounds (as Hg),1029.6
12/15/2025,Czechia,2020,Carbon dioxide (CO2) excluding biomass,48905691139
12/15/2025,Denmark,2021,Nitrogen oxides (NOX),13605316.95
12/15/2025,Netherlands,2009,Carbon dioxide (CO2) excluding biomass,54934000000
12/15/2025,Netherlands,2009,Hydro-fluorocarbons (HFCS),76125
12/15/2025,Denmark,2008,Ammonia (NH3),1850200
12/15/2025,Hungary,2024,Methane (CH4),2197549.5
12/15/2025,France,2018,Arsenic and compounds (as As),605.3
12/15/2025,Romania,2014,Carbon dioxide (CO2),38916000000
12/15/2025,Ireland,2011,Sulphur oxides (SOX),14388000
12/15/2025,Germany,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.046053
12/15/2025,Finland,2024,Carbon dioxide (CO2),33991000000
12/15/2025,Finland,2024,Sulphur oxides (SOX),8971000
12/15/2025,Romania,2008,Carbon dioxide (CO2),61079000000
12/15/2025,United Kingdom,2017,Naphthalene,5998
12/15/2025,Estonia,2018,Ammonia (NH3),1004600
12/15/2025,Belgium,2021,Nitrogen oxides (NOX),35454000
12/15/2025,Germany,2010,Fluorine and inorganic compounds (as HF),809870
12/15/2025,Germany,2011,Vinyl chloride,120650
12/15/2025,France,2019,Carbon dioxide (CO2),90570999808
12/15/2025,Belgium,2009,Anthracene,1890
12/15/2025,Hungary,2013,Nitrogen oxides (NOX),19485000
12/15/2025,Czechia,2013,Cadmium and compounds (as Cd),393.6
12/15/2025,Netherlands,2021,Anthracene,51.8
12/15/2025,Ireland,2014,Methane (CH4),33541000
12/15/2025,Poland,2014,Sulphur oxides (SOX),357059000
12/15/2025,France,2015,Benzene,308910
12/15/2025,United Kingdom,2008,Di-(2-ethyl hexyl) phthalate (DEHP),330.9
12/15/2025,Latvia,2017,Carbon monoxide (CO),1270000
12/15/2025,Czechia,2007,Lead and compounds (as Pb),40470
12/15/2025,Hungary,2013,Carbon dioxide (CO2),17992000000
12/15/2025,Spain,2023,Nitrous oxide (N2O),1377500
12/15/2025,Slovakia,2012,Copper and compounds (as Cu),3454
12/15/2025,France,2009,Mercury and compounds (as Hg),2449.4
12/15/2025,Norway,2011,Total organic carbon(as total C or COD/3) (TOC),61439.5
12/15/2025,Bulgaria,2008,Lead and compounds (as Pb),24259
12/15/2025,Norway,2014,Zinc and compounds (as Zn),16130
12/15/2025,Austria,2015,Chlorine and inorganic compounds (as HCl),146500
12/15/2025,Austria,2017,Chlorine and inorganic compounds (as HCl),25500
12/15/2025,Croatia,2021,Sulphur oxides (SOX),2433000
12/15/2025,United Kingdom,2008,Sulphur hexafluoride (SF6),4253
12/15/2025,Germany,2024,Copper and compounds (as Cu),8724
12/15/2025,France,2007,Chlorofluorocarbons (CFCs),93330
12/15/2025,Belgium,2019,Dichloromethane (DCM),18300
12/15/2025,Poland,2021,"1,2-dichloroethane (DCE-1,2)",2450
12/15/2025,Austria,2019,Nitrogen oxides (NOX),15050000
12/15/2025,Czechia,2020,Hydro-fluorocarbons (HFCS),8519.857
12/15/2025,Greece,2010,Nitrogen oxides (NOX),117318000
12/15/2025,Norway,2010,Hydrochlorofluorocarbons (HCFCs),61
12/15/2025,Slovakia,2015,Fluorine and inorganic compounds (as HF),46100
12/15/2025,Austria,2019,Carbon dioxide (CO2),33919000000
12/15/2025,Latvia,2018,Particulate matter (PM10),155100
12/15/2025,Greece,2010,Carbon dioxide (CO2),59305000000
12/15/2025,Italy,2012,Nitrogen oxides (NOX),145563000
12/15/2025,Greece,2018,Carbon dioxide (CO2),51097000000
12/15/2025,Croatia,2018,Ammonia (NH3),3035900
12/15/2025,Belgium,2023,Carbon dioxide (CO2),35856000000
12/15/2025,Germany,2024,Chromium and compounds (as Cr),1538
12/15/2025,Italy,2012,Carbon dioxide (CO2),1.67961E+11
12/15/2025,Netherlands,2008,Cadmium and compounds (as Cd),1584.9
12/15/2025,Italy,2012,Chlorofluorocarbons (CFCs),95
12/15/2025,Ireland,2007,Ammonia (NH3),1316900
12/15/2025,Greece,2024,Naphthalene,300
12/15/2025,Slovenia,2020,Chromium and compounds (as Cr),376.45
12/15/2025,Spain,2018,Vinyl chloride,34300
12/15/2025,Czechia,2022,Nickel and compounds (as Ni),2819.99942
12/15/2025,Greece,2011,Chromium and compounds (as Cr),3619
12/15/2025,Netherlands,2022,Copper and compounds (as Cu),482
12/15/2025,Slovenia,2020,Carbon dioxide (CO2) excluding biomass,1210080931
12/15/2025,Germany,2011,Trichloromethane,1980
12/15/2025,Ireland,2008,Nickel and compounds (as Ni),4020
12/15/2025,Sweden,2016,Sulphur oxides (SOX),8911000
12/15/2025,Greece,2009,Nitrogen oxides (NOX),142820000
12/15/2025,Ireland,2021,Ammonia (NH3),2061823.3
12/15/2025,Lithuania,2012,Carbon monoxide (CO),4103000
12/15/2025,Netherlands,2010,Hydro-fluorocarbons (HFCS),77125
12/15/2025,Belgium,2010,Anthracene,2860
12/15/2025,Germany,2008,Hexachlorobenzene (HCB),21.2
12/15/2025,France,2009,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",70
12/15/2025,Greece,2009,Carbon dioxide (CO2),61605000000
12/15/2025,France,2020,Polycyclic aromatic hydrocarbons (PAHs),1170
12/15/2025,Luxembourg,2007,Carbon dioxide (CO2),2180000000
12/15/2025,Norway,2009,Hydrochlorofluorocarbons (HCFCs),983
12/15/2025,Belgium,2007,Polycyclic aromatic hydrocarbons (PAHs),12842.3
12/15/2025,Latvia,2007,Nitrous oxide (N2O),18300
12/15/2025,Denmark,2018,Benzene,66
12/15/2025,Latvia,2009,Mercury and compounds (as Hg),13.9
12/15/2025,Poland,2021,Perfluorocarbons (PFCs),1670
12/15/2025,Switzerland,2021,Fluorine and inorganic compounds (as HF),12.1
